,Code,Property_Location,Mailing Address
42,1517_67_5,571 THOMAS AVENUE,571 THOMAS AVE
43,1517_67_6,563 THOMAS AVENUE,563 THOMAS AVE
44,1517_67_7.01,555 THOMAS AVENUE,218 S PULASKI BLVD
45,1517_67_149,549 THOMAS AVENUE,549 THOMAS AVE
46,1517_68_2,429 THOMAS AVENUE,429 THOMAS AVE
47,1517_68_3_QFARM,NORTH OF THOMAS AVE,403 THOMAS AVE
48,1517_68_4,419 THOMAS AVENUE,419 THOMAS AVE
49,1517_68_6.01,467 THOMAS AVENUE,467 THOMAS AVE
50,1517_69_1_QFARM,OFF THOMAS AVENUE,403 THOMAS AVE
51,1517_69_2,403 OFF THOMAS AVENUE,403 THOMAS AVE
52,1517_69_2_QFARM,OFF THOMAS AVENUE,403 THOMAS AVE
53,1517_69_3_QFARM,401 THOMAS AVENUE,403 THOMAS AVENUE
54,1517_69_4_QFARM,399 THOMAS AVENUE,391 THOMAS AVE
55,1517_69_5,391 THOMAS AVENUE,391 THOMAS AVE
56,1517_69_5_QFARM,391 THOMAS AVENUE,391 THOMAS AVE
57,1517_69_6,326 THOMAS AVENUE,326 THOMAS AVE
58,1517_69_7.01,347 THOMAS AVENUE,390 THOMAS AVE
59,1517_69_8.01,335 THOMAS AVENUE,335 THOMAS AVE
60,1517_69_10,351 THOMAS AVENUE,351 THOMAS AVE
61,1517_70_4,499 THOMAS AVENUE,499 THOMAS AVE
62,1517_71_1,BAKER DRIVE,665 RADIO RD
63,1517_71_2,511 THOMAS AVENUE,511 THOMAS AVE
64,1517_71_3,503 THOMAS AVENUE,503 THOMAS AVE
65,1517_72_4.01,525 THOMAS AVENUE,525 THOMAS AVE
66,1517_72_49,BAKER DRIVE,665 RADIO RD
67,1517_72_64,519 THOMAS AVENUE,519 THOMAS AVE
68,1517_73_1,535 THOMAS AVENUE,535 THOMAS AVE
69,1517_74_132,DRISCOLL DRIVE,460 S GREEN ST
70,1517_78_3,1310 ROUTE 539,1310 RTE 539
71,1517_78_4,FRANKLIN AVENUE,665 RADIO RD
72,1517_78_5,1301 ROUTE 539,PO BOX 1156
73,1517_78_18,BRIDGE ROAD,665 RADIO RD
74,1517_78_20,WEST OF RT. 539,1510 RTE 539
75,1517_78_21,BRIDGE ROAD,1510 RTE 539
76,1517_78_22.01,NORTH OF NUGENTOWN ROAD,665 RADIO RD
77,1517_78_22.02,NORTH OF NUGENTOWN ROAD,665 RADIO RD
78,1517_78_25.02,450 NUGENTOWN ROAD,450 NUGENTOWN RD
79,1517_78_25.03,NUGENTOWN ROAD,410 NUGENTOWN RD
80,1517_78_25.04,VALEWOOD BOULEVARD,410 NUGENTOWN RD
81,1517_78_26,520 NUGENTOWN ROAD,565 NUGENTOWN RD
82,1517_78_27.01,8 BRIDGE ROAD,8 BRIDGE RD
83,1517_78_28,410 NUGENTOWN ROAD,410 NUGENTOWN RD
84,1517_78_29,430 NUGENTOWN ROAD,410 NUGENTOWN RD
85,1517_78_30,490 NUGENTOWN ROAD,PO BOX 1297
86,1517_78_31,494 NUGENTOWN ROAD,494 NUGENTOWN RD
87,1517_78_32,498 NUGENTOWN ROAD,498 NUGENTOWN RD
88,1517_78_34.04,SPORTS COMPLEX DRIVE,665 RADIO RD
89,1517_80_5,1496 ROUTE 539,22 DADDY TUCKER DR
90,1517_80_6,1492 ROUTE 539,PO BOX 296
91,1517_80_7,1488 ROUTE 539,1488 RT 539
92,1517_80_8,1484 ROUTE 539,665 RADIO RD
93,1517_80_10.01,1476 ROUTE 539,23 W MULLICA RD
94,1517_80_13.01,1444 ROUTE 539,22 S MIAMI DR
95,1517_80_14.02,ROUTE 539,167 FIFTH AVE
96,1517_80_14.03,ROUTE 539,167 FIFTH AVE
97,1517_80_16,1416 ROUTE 539,167 FIFTH AVE
98,1517_81_1,1401 ROUTE 539,125 S LONGBOAT DR
99,1517_81_2,1403 ROUTE 539,1403 RTE 539
100,1517_83_6.01,604 THOMAS AVENUE,604 THOMAS AVE
101,1517_83_8,1451 ROUTE 539,1451 RTE 539
102,1517_83_9,1443 ROUTE 539,36 KANSAS RD
103,1517_83_12.01,1423 ROUTE 539,1423 RTE 539
104,1517_84_1.01,7 WIMBLETON LANE,7 WIMBLETON LN
105,1517_84_1.02,11 WIMBLETON LANE,11 WIMBLETON LN
106,1517_84_1.03,15 WIMBLETON LANE,15 WIMBLETON LN
107,1517_84_1.04,19 WIMBLETON LANE,19 WINBLETON LN
108,1517_84_1.05,23 WIMBLETON LANE,23 WIMBLETON LN
109,1517_84_1.06,27 WIMBLETON LANE,27 WIMBLETON LN
110,1517_84_1.08,24 WIMBLETON LANE,24 WIMBLETON LN
111,1517_84_1.09,20 WIMBLETON LANE,20 WIMBLETON LN
112,1517_84_1.10,16 WIMBLETON LANE,16 WIMBLETON LN
113,1517_84_1.11,12 WIMBLETON LANE,12 WIMBLETON LN
114,1517_84_1.12,8 WIMBLETON LANE,8 WIMBLETON LN
115,1517_84_1.13,4 WIMBLETON LANE,4 WIMBLETON LN
116,1517_84_2.01_C0201,1 DRIFTWOOD DRIVE,7 EDWARDS CT
117,1517_84_2.02_C0202,3 DRIFTWOOD DRIVE,3 DRIFTWOOD DR
118,1517_84_2.04_C0204,7 DRIFTWOOD DRIVE,7 DRIFTWOOD DR
119,1517_84_2.07_C0207,13 DRIFTWOOD DRIVE,571 THOMAS AVE
120,1517_84_2.08_C0208,15 DRIFTWOOD DRIVE,15 DRIFTWOOD DR
121,1517_84_2.10_C0210,17 DRIFTWOOD DRIVE,19 DRIFTWOOD DR
122,1517_84_2.11_C0211,23 DRIFTWOOD DRIVE,7 EDWARDS CT
123,1517_84_2.12_C0212,19 DRIFTWOOD DRIVE,352 MARINE ST
124,1517_84_2.13_C0213,29 DRIFTWOOD DRIVE,545 COUNTY LINE RD
125,1517_84_2.14_C0214,25 DRIFTWOOD DRIVE,352 MARINE ST
126,1517_84_2.16_C0216,27 DRIFTWOOD DRIVE,27 DRIFTWOOD DR
127,1517_84_2.17_C0217,12 DRIFTWOOD DRIVE,12 DRIFTWOOD DR
128,1517_84_2.18_C0218,10 DRIFTWOOD DRIVE,122 LAKE WINNEPESAUKEE DR
129,1517_84_2.19_C0219,16 DRIFTWOOD DRIVE,16 DRIFTWOOD DR
130,1517_84_2.20_C0220,14 DRIFTWOOD DRIVE,14 DRIFTWOOD DR
131,1517_84_2.21_C0221,4 DRIFTWOOD DRIVE,PO BOX 433
132,1517_84_2.24_C0224,6 DRIFTWOOD DRIVE,6 DRIFTWOOD DR
133,1517_84_4,574 THOMAS AVENUE,574 THOMAS AVE
134,1517_84_5,588 THOMAS AVENUE,588 THOMAS AVE
135,1517_84_6,586 THOMAS AVENUE,586 THOMAS AVE
136,1517_84_7,584 THOMAS AVENUE,584 THOMAS AVE
137,1517_84_8,578 THOMAS AVENUE,578 THOMAS AVE
138,1517_85_114,JOHNSON DRIVE,665 RADIO RD
139,1517_85_120,CORLISS DRIVE,665 RADIO RD
140,1517_86_1,548 THOMAS AVENUE,200 MATHISTOWN RD
141,1517_86_3,DRISCOLL DRIVE,200 MATHISTOWN RD
142,1517_86_30,CORLISS DRIVE,200 MATHISTOWN RD
143,1517_86_40,CORLISS DRIVE,200 MATHISTOWN RD
144,1517_86_46,CORLISS DRIVE,200 MATHISTOWN RD
145,1517_86_50,CORLISS DRIVE,200 MATHISTOWN  RD
146,1517_86_60,CORLISS DRIVE,665 RADIO RD
147,1517_86_72,CORLISS DRIVE,665 RADIO RD
148,1517_86_78,CORLISS DRIVE,665 RADIO RD
149,1517_86_82,CORLISS DRIVE,665 RADIO RD
150,1517_86_84,CORLISS DRIVE,665 RADIO RD
151,1517_86_98,CORLISS DRIVE,665 RADIO RD
152,1517_86_108,JOHNSON DRIVE,665 RADIO RD
153,1517_87_19,542 THOMAS AVENUE,542 THOMAS AVE
154,1517_87_27,DRISCOLL DRIVE,542 THOMAS AVE
155,1517_87_37,CORLISS DRIVE,200 MATHISTOWN RD
156,1517_88_22,524 THOMAS AVENUE,665 RADIO RD
157,1517_88_25,CARMONA DRIVE,665 RADIO RD
158,1517_88_36,CORLISS DRIVE,665 RADIO RD
159,1517_88_68,520 THOMAS AVENUE,665 RADIO RD
160,1517_88_72,BAKER DRIVE,665 RADIO RD
161,1517_88_80,CORLISS DRIVE,665 RADIO RD
162,1517_89_2,506 THOMAS AVENUE,506 THOMAS AVE
163,1517_89_31,BAKER DRIVE,665 RADIO RD
164,1517_89_36,CORLISS DRIVE,665 RADIO RD
165,1517_90_1,CORLISS DRIVE,665 RADIO RD
166,1517_90_5,CORLISS DRIVE,665 RADIO RD
167,1517_90_11,CORLISS DRIVE,200 MATHISTOWN RD
168,1517_90_16,CORLISS DRIVE,200 MATHISTOWN RD
169,1517_90_21,CORLISS DRIVE,200 MATHISTOWN RD
170,1517_90_27,CORLISS DRIVE,200 MATHISTOWN RD
171,1517_90_31,CORLISS DRIVE,200 MATHISTOWN RD
172,1517_90_44,CORLISS DRIVE,665 RADIO RD
173,1517_90_54,CORLISS DRIVE,202 N GREEN ST
174,1517_90_69,RUTTER DRIVE,665 RADIO RD
175,1517_90_82,RUTTER DRIVE,200 MATHISTOWN RD
176,1517_90_90,RUTTER DRIVE,200 MATHISTOWN RD
177,1517_91_1,CORLISS DRIVE,200 MATHISTOWN RD
178,1517_91_5,CORLISS DRIVE,200 MATHISTOWN RD
179,1517_91_25,CORLISS DRIVE,200 MATHISTOWN RD
180,1517_91_30,CORLISS DRIVE,665 RADIO RD
181,1517_91_40,CORLISS DRIVE,665 RADIO RD
182,1517_91_52,RUTTER DRIVE,200 MATHISTOWN RD
183,1517_91_67,RUTTER DRIVE,200 MATHISTOWN  RD
184,1517_91_95,RUTTER DRIVE,665 RADIO RD
185,1517_91_105,JOHNSON DRIVE,665 RADIO RD
186,1517_92_115,JOHNSON DRIVE,665 RADIO RD
187,1517_93_125,JOHNSON DRIVE,665 RADIO RD
188,1517_94_6,RUTTER DRIVE,665 RADIO RD
189,1517_94_41,RUTTER DRIVE,665 RADIO RD
190,1517_94_43,RUTTER DRIVE,665 RADIO RD
191,1517_94_53,RUTTER DRIVE,665 RADIO RD
192,1517_94_57,BURKE DRIVE,665 RADIO RD
193,1517_94_64,BURKE DRIVE,665 RADIO RD
194,1517_94_87,BURKE DRIVE,665 RADIO RD
195,1517_94_89,BURKE DRIVE,665 RADIO RD
196,1517_94_93,BURKE DRIVE,665 RADIO RD
197,1517_94_111,BURKE DRIVE,665 RADIO RD
198,1517_94_115,JOHNSON DRIVE,665 RADIO RD
199,1517_95_1,RUTTER DRIVE,665 RADIO RD
200,1517_95_4,RUTTER DRIVE,665 RADIO RD
201,1517_96_3,BURKE DRIVE,665 RADIO RD
202,1517_97_1,BURKE DRIVE,50 NUGENTOWN RD
203,1517_97_36,BURKE DRIVE,665 RADIO RD
204,1517_97_56,BURKE DRIVE,665 RADIO RD
205,1517_97_63,BURD DRIVE,665 RADIO RD
206,1517_98_132,JOHNSON DRIVE,665 RADIO RD
207,1517_100_1,BURD DRIVE,665 RADIO RD
208,1517_100_11,BURD DRIVE,665 RADIO RD
209,1517_100_37,BURD DRIVE,665 RADIO RD
210,1517_100_51,BURD DRIVE,595 PARKERTOWN DRIVE
211,1517_100_55.01,595 PARKERTOWN DRIVE,595 PARKERTOWN DR
212,1517_100_71,SHINN DRIVE,665 RADIO RD
213,1517_101_1,BURD DRIVE,665 RADIO RD
214,1517_102_153,ACE DRIVE,134 JEFFERSON LN
215,1517_102_155,ACE DRIVE,134 JEFFERSON LN
216,1517_102_157,ACE DRIVE,134 JEFFERSON LN
217,1517_102_159,ACE DRIVE,109 LADIS WAY
218,1517_102_168,ACE DRIVE,109 LADIS WAY
219,1517_102_178,SHINN DRIVE,109 LADIS WAY
220,1517_102_185,SHINN DRIVE,109 LADIS WAY
221,1517_103_54,SHINN DRIVE,665 RADIO RD
222,1517_103_109,POTTER DRIVE,665 RADIO RD
223,1517_104_3,SHINN DRIVE,665 RADIO RD
224,1517_104_6,SHINN DRIVE,665 RADIO RD
225,1517_105_112,560 PARKERTOWN DRIVE,128 CEDAR ST
226,1517_105_122,POTTER DRIVE,128 CEDAR ST
227,1517_106_97,540 PARKERTOWN DRIVE,128 CEDAR ST
228,1517_106_107,POTTER DRIVE,128 CEDAR ST
229,1517_106_115,SELSER DRIVE,128 CEDAR ST
230,1517_107_1,535 PARKERTOWN DRIVE,535 PARKERTOWN DR
231,1517_107_45,547 PARKERTOWN DRIVE,547 PARKERTOWN DR
232,1517_109_8,500 THOMAS AVENUE,665 RADIO RD
233,1517_109_46,ACE DRIVE,665 RADIO RD
234,1517_109_54,SHINN DRIVE,665 RADIO RD
235,1517_109_99,ACE DRIVE,665 RADIO RD
236,1517_110_4,SELSER DRIVE,665 RADIO RD
237,1517_110_43,SELSER DRIVE,665 RADIO RD
238,1517_110_46,SELSER DRIVE,665 RADIO RD
239,1517_111_1,SELSER DRIVE,665 RADIO RD
240,1517_111_13,SELSER DRIVE,665 RADIO RD
241,1517_111_15,SELSER DRIVE,106 GREENWOOD LAKE RD
242,1517_111_22,SELSER DRIVE,106 GREENWOOD LAKE RD
243,1517_111_30,SELSER DRIVE,106 GREENWOOD LAKE RD
244,1517_111_38,GRANVILLE DRIVE,665 RADIO RD
245,1517_111_57,GRANVILLE DRIVE,106 GREENWOOD LAKE RD
246,1517_111_61,GRANVILLE DRIVE,106 GREENWOOD LAKE RD
247,1517_111_63,GRANVILLE DRIVE,106 GREENWOOD LAKE RD
248,1517_111_67,GRANVILLE DRIVE,106 GREENWOOD LAKE RD
249,1517_111_71,523 PARKERTOWN DRIVE,106 GREENWOOD LAKE RD
250,1517_112_81,530 PARKERTOWN DRIVE,530 PARKERTOWN DR
251,1517_112_86,510 PARKERTOWN DRIVE,665 RADIO RD
252,1517_113_118,WILSON DRIVE,665 RADIO RD
253,1517_113_125,WILSON DRIVE,665 RADIO ROAD
254,1517_114_1,GRANVILLE DRIVE,495 PARKERTOWN DR
255,1517_114_18,GRANVILLE DRIVE,495 PARKERTOWN DR
256,1517_114_25,GRANVILLE DRIVE,495 PARKERTOWN DR
257,1517_114_31,WILSON DRIVE,495 PARKERTOWN DR
258,1517_114_33,WILSON DRIVE,495 PARKERTOWN DR
259,1517_114_57,495 PARKERTOWN DRIVE,495 PARKERTOWN DR
260,1517_114_62,485 PARKERTOWN DRIVE,665 RADIO RD
261,1517_116_1,WILSON DRIVE,665 RADIO RD
262,1517_116_33,WILSON DRIVE,665 RADIO RD
263,1517_117_1,HART DRIVE,665 RADIO RD
264,1517_117_11,WILSON DRIVE,475 PARKERTOWN DR
265,1517_117_41,477 PARKERTOWN DRIVE,475 PARKERTOWN DR
266,1517_117_43,475 PARKERTOWN DRIVE,475 PARKERTOWN DR
267,1517_118_1,480 PARKERTOWN DRIVE,480 PARKERTOWN DR
268,1517_118_2,470 PARKERTOWN DRIVE,470 PARKERTOWN DR
269,1517_119_1,PARKERS COUNTRY ROAD,16 HARVEST WAY
270,1517_120_30.01,450 PARKERTOWN DRIVE,450 PARKERTOWN DR
271,1517_120_42,OFF PARKERTOWN DRIVE,468 PARKERTOWN DR
272,1517_121_1,HART DRIVE,665 RADIO RD
273,1517_121_2,HART DRIVE,665 RADIO RD
274,1517_121_6,HART DRIVE,665 RADIO RD
275,1517_121_7,HART DRIVE,665 RADIO RD
276,1517_121_13,445 PARKERTOWN DRIVE,665 RADIO RD
277,1517_121_23,435 PARKERTOWN DRIVE,665 RADIO RD
278,1517_122_1,430 PARKERTOWN DRIVE,665 RADIO RD
279,1517_122_6,BART DRIVE,665 RADIO RD
280,1517_122_7,BART DRIVE,665 RADIO RD
281,1517_122_10,BART DRIVE,665 RADIO RD
282,1517_122_12,BART DRIVE,432 NATIONAL UNION BLVD
283,1517_124_2,1399 ROUTE 539,59 OCEAN BLVD
284,1517_124_9.02,103 NEWPORT WAY,103 NEWPORT WAY
285,1517_124_9.03,105 NEWPORT WAY,105 NEWPORT WAY
286,1517_124_9.04,107 NEWPORT WAY,107 NEWPORT WAY
287,1517_124_9.05,109 NEWPORT WAY,109 NEWPORT WAY
288,1517_124_9.06,111 NEWPORT WAY,111 NEWPORT WAY
289,1517_124_9.07,113 NEWPORT WAY,113 NEWPORT WAY
290,1517_124_9.08,115 NEWPORT WAY,115 NEWPORT WAY
291,1517_124_9.09,117 NEWPORT WAY,117 NEWPORT WAY
292,1517_124_9.10,119 NEWPORT WAY,119 NEWPORT WAY
293,1517_124_9.11,121 NEWPORT WAY,121 NEWPORT WAY
294,1517_124_9.12,123 NEWPORT WAY,123 NEWPORT WAY
295,1517_124_9.13,125 NEWPORT WAY,125 NEWPORT WAY
296,1517_124_9.14,127 NEWPORT WAY,127 NEWPORT WAY
297,1517_124_9.15,129 NEWPORT WAY,129 NEWPORT WAY
298,1517_124_9.16,131 NEWPORT WAY,131 NEWPORT WAY
299,1517_124_9.17,133 NEWPORT WAY,133 NEWPORT WAY
300,1517_124_9.18,135 NEWPORT WAY,135 NEWPORT WAY
301,1517_124_9.19,137 NEWPORT WAY,137 NEWPORT WAY
302,1517_124_9.20,139 NEWPORT WAY,139 NEWPORT WAY
303,1517_124_9.21,141 NEWPORT WAY,141 NEWPORT WAY
304,1517_124_9.22,143 NEWPORT WAY,143 NEWPORT WAY
305,1517_124_9.23,145 NEWPORT WAY,145 NEWPORT WAY
306,1517_124_9.24,147 NEWPORT WAY,4544 PRESTWICK LN SE
307,1517_124_9.25,149 NEWPORT WAY,149 NEWPORT WAY
308,1517_124_9.26,151 NEWPORT WAY,151 NEWPORT WAY
309,1517_124_9.27,153 NEWPORT WAY,153 NEWPORT WAY
310,1517_124_9.28,155 NEWPORT WAY,155 NEWPORT WAY
311,1517_124_9.29,154 NEWPORT WAY,154 NEWPORT WAY
312,1517_124_9.30,152 NEWPORT WAY,152 NEWPORT WAY
313,1517_124_9.31,150 NEWPORT WAY,150 NEWPORT WAY
314,1517_124_9.32,148 NEWPORT WAY,148 NEWPORT WAY
315,1517_124_9.33,3 GIMBALL RD,3 GIMBALL RD
316,1517_124_9.34,5 GIMBALL ROAD,5 GIMBALL RD
317,1517_124_9.35,7 GIMBALL ROAD,7 GIMBALL RD
318,1517_124_9.36,9 GIMBALL ROAD,9 GIMBALL RD
319,1517_124_9.37,11 GIMBALL ROAD,11 GIMBALL RD
320,1517_124_9.38,13 GIMBALL ROAD,13 GIMBALL RD
321,1517_124_9.39,17 GIMBALL ROAD,17 GIMBALL RD
322,1517_124_9.40,19 GIMBALL ROAD,19 GIMBALL RD
323,1517_124_9.41,21 GIMBALL ROAD,21 GIMBALL RD
324,1517_124_9.42,23 GIMBALL ROAD,23 GIMBALL RD
325,1517_124_9.43,25 GIMBALL ROAD,25 GIMBALL RD
326,1517_124_9.44,27 GIMBALL ROAD,27 GIMBALL RD
327,1517_124_9.45,29 GIMBALL ROAD,29 GIMBALL RD
328,1517_124_9.46,31 GIMBALL ROAD,31 GIMBALL RD
329,1517_124_9.47,33 GIMBALL ROAD,33 GIMBALL RD
330,1517_124_9.48,35 GIMBALL ROAD,35 GIMBALL RD
331,1517_124_9.49,37 GIMBALL ROAD,37 GIMBALL RD
332,1517_124_9.50,39 GIMBALL ROAD,39 GIMBALL RD
333,1517_124_9.51,41 GIMBALL ROAD,41 GIMBALL RD
334,1517_124_9.52,43 GIMBALL ROAD,43 GIMBALL RD
335,1517_124_9.53,45 GIMBALL ROAD,45 GIMBALL RD
336,1517_124_9.54,47 GIMBALL ROAD,47 GIMBALL RD
337,1517_124_9.55,49 GIMBALL ROAD,49 GIMBALL RD
338,1517_124_9.56,51 GIMBALL ROAD,51 GIMBALL RD
339,1517_124_9.57,53 GIMBALL ROAD,53 GIMBALL RD
340,1517_124_9.58,55 GIMBALL ROAD,55 GIMBALL RD
341,1517_124_9.59,57 GIMBALL ROAD,57 GIMBALL RD
342,1517_124_9.60,59 GIMBALL ROAD,59 GIMBALL RD
343,1517_124_9.61,353 NEWPORT WAY,353 NEWPORT WAY
344,1517_124_9.62,355 NEWPORT WAY,355 NEWPORT WAY
345,1517_124_9.63,357 NEWPORT WAY,357 NEWPORT WAY
346,1517_124_9.64,359 NEWPORT WAY,359 NEWPORT WAY
347,1517_124_9.65,360 NEWPORT WAY,360 NEWPORT WAY
348,1517_124_9.66,358 NEWPORT WAY,358 NEWPORT WAY
349,1517_124_9.67,356 NEWPORT WAY,356 NEWPORT WAY
350,1517_124_9.68,354 NEWPORT WAY,354 NEWPORT WAY
351,1517_124_9.69,352 NEWPORT WAY,352 NEWPORT WAY
352,1517_124_9.71,346 NEWPORT WAY,346 NEWPORT WAY
353,1517_124_9.72,344 NEWPORT WAY,344 NEWPORT WAY
354,1517_124_9.73,342 NEWPORT WAY,342 NEWPORT WAY
355,1517_124_9.75,336 NEWPORT WAY,336 NEWPORT WAY
356,1517_124_9.77,332 NEWPORT WAY,332 NEWPORT WAY
357,1517_124_9.84,316 NEWPORT WAY,316 NEWPORT WAY
358,1517_124_9.85,314 NEWPORT WAY,314 NEWPORT WAY
359,1517_124_9.86,312 NEWPORT WAY,312 NEWPORT WAY
360,1517_124_9.87,310 NEWPORT WAY,256 NEWPORT WAY
361,1517_124_9.88,308 NEWPORT WAY,308 NEWPORT WAY
362,1517_124_9.89,306 NEWPORT WAY,306 NEWPORT WAY
363,1517_124_9.90,304 NEWPORT WAY,304 NEWPORT WAY
364,1517_124_9.91,302 NEWPORT WAY,302 NEWPORT WAY
365,1517_124_10.01,1363 ROUTE 539,665 RADIO RD
366,1517_124_12,398 PARKERTOWN DRIVE,398 PARKERTOWN DR
367,1517_124_12.01,394 PARKERTOWN DRIVE,394 PARKERTOWN DR
368,1517_124_12.02,390 PARKERTOWN DRIVE,390 PARKERTOWN DR
369,1517_124_12.03,386 PARKERTOWN DRIVE,386 PARKERTOWN DR
370,1517_124_12.04,400 PARKERTOWN DRIVE,400 PARKERTOWN DR
371,1517_124_13.01,342 PARKERTOWN DRIVE,342 PARKERTOWN DR
372,1517_124_13.02,336 PARKERTOWN DRIVE,336 PARKERTOWN DR
373,1517_124_14,"305,307 FROG POND ROAD",950 RTE 539
374,1517_124_16,274 PARKERTOWN DRIVE,274 PARKERTOWN DR
375,1517_124_17,287 FROG POND ROAD,287 FROG POND RD
376,1517_124_18,268 PARKERTOWN DRIVE,268 PARKERTOWN DR
377,1517_124_18.01,264 PARKERTOWN DRIVE,264 PARKERTOWN DR
378,1517_124_19,217 FROG POND ROAD,217 FROG POND RD
379,1517_124_56,298 PARKERTOWN DRIVE,298 PARKERTOWN DR
380,1517_124_56.01,292 PARKERTOWN DRIVE,298 PARKERTOWN DR
381,1517_124_56.02,286 PARKERTOWN DRIVE,298 PARKERTOWN DR
382,1517_124_56.03,280 PARKERTOWN DRIVE,280 PARKERTOWN DR
383,1517_124_57,233 FROG POND ROAD,233 FROG POND RD
384,1517_124_58,236 PARKERTOWN DRIVE,236 PARKERTOWN DR
385,1517_124_58.01,239 FROG POND ROAD,239 FROG POND RD
386,1517_124_59,245 FROG POND ROAD,245 FROG POND RD
387,1517_124_60,257 FROG POND ROAD,257 FROG POND RD
388,1517_124_61,242 PARKERTOWN DRIVE,242 PARKERTOWN DR
389,1517_124_62,250 PARKERTOWN DRIVE,250 PARKERTOWN DR
390,1517_124_63,265 FROG POND ROAD,265 FROG POND RD
391,1517_124_67,1383 ROUTE 539,665 RADIO RD
392,1517_124.01_2,202 NEWPORT WAY,202 NEWPORT WAY
393,1517_124.01_3,204 NEWPORT WAY,204 NEWPORT WAY
394,1517_124.01_4,206 NEWPORT WAY,206 NEWPORT WAY
395,1517_124.01_5,208 NEWPORT WAY,208 NEWPORT WAY
396,1517_124.01_6,210 NEWPORT WAY,210 NEWPORT WAY
397,1517_124.01_7,212 NEWPORT WAY,212 NEWPORT WAY
398,1517_124.01_8,214 NEWPORT WAY,214 NEWPORT WAY
399,1517_124.01_9,216 NEWPORT WAY,216 NEWPORT WAY
400,1517_124.01_10,218 NEWPORT WAY,24504 BLACKBERRY DR
401,1517_124.01_11,220 NEWPORT WAY,220 NEWPORT WAY
402,1517_124.01_12,222 NEWPORT WAY,222 NEWPORT WAY
403,1517_124.01_13,224 NEWPORT WAY,224 NEWPORT WAY
404,1517_124.01_14,226 NEWPORT WAY,226 NEWPORT WAY
405,1517_124.01_15,228 NEWPORT WAY,228 NEWPORT WAY
406,1517_124.01_16,230 NEWPORT WAY,230 NEWPORT WAY
407,1517_124.01_17,232 NEWPORT WAY,232 NEWPORT WAY
408,1517_124.01_18,234 NEWPORT WAY,234 NEWPORT WAY
409,1517_124.01_19,250 NEWPORT WAY,250 NEWPORT WAY
410,1517_124.01_20,252 NEWPORT WAY,252 NEWPORT WAY
