,Code,Property_Location,Mailing Address
177,1517_285.11_2.19,50 VINCENT COURT,50 VINCENT CT
178,1517_285.11_2.20,52 VINCENT COURT,52 VINCENT CT
179,1517_285.11_2.21,54 VINCENT COURT,54 VINCENT CT
180,1517_285.11_2.22,56 VINCENT COURT,56 VINCENT CT
181,1517_285.11_2.23,58 VINCENT COURT,58 VINCENT CT
182,1517_285.11_2.24,60 VINCENT COURT,60 VINCENT CT
183,1517_285.11_2.25,62 VINCENT COURT,62 VINCENT CT
184,1517_285.11_2.26,64 VINCENT COURT,64 VINCENT CT
185,1517_285.11_2.27,66 VINCENT COURT,66 VINCENT CT
186,1517_285.11_2.28,68 VINCENT COURT,68 VINCENT CT
187,1517_285.11_2.29,70 VINCENT COURT,70 VINCENT CT
188,1517_285.11_2.30,72 VINCENT COURT,72 VINCENT CT
189,1517_285.11_2.32,76 VINCENT COURT,76 VINCENT CT
190,1517_285.11_2.33,78 VINCENT COURT,78 VINCENT CT
191,1517_285.11_2.34,80 VINCENT COURT,80 VINCENT CT
192,1517_285.11_2.36,84 VINCENT COURT,84 VINCENT CT
193,1517_285.11_2.37,95 VINCENT COURT,95 VINCENT CT
194,1517_285.11_2.38,93 VINCENT COURT,93 VINCENT CT
195,1517_285.11_2.39,91 VINCENT COURT,91 VINCENT CT
196,1517_285.11_2.40,89 VINCENT COURT,89 VINCENT CT
197,1517_285.11_2.41,87 VINCENT COURT,87 VINCENT CT
198,1517_285.11_2.43,110 VINCENT COURT,110 VINCENT CT
199,1517_285.11_2.44,108 VINCENT COURT,108 VINCENT CT
200,1517_285.11_2.45,106 VINCENT COURT,106 VINCENT CT
201,1517_285.11_2.46,104 VINCENT COURT,104 VINCENT CT
202,1517_285.11_2.48,100 VINCENT COURT,100 VINCENT CT
203,1517_285.11_2.49,111 VINCENT COURT,111 VINCENT CT
204,1517_285.11_2.50,109 VINCENT COURT,109 VINCENT CT
205,1517_285.11_2.52,105 VINCENT COURT,PO BOX 690
206,1517_285.11_2.54,101 VINCENT COURT,101 VINCENT CT
207,1517_285.11_2.55,83 VINCENT COURT,83 VINCENT CT
208,1517_285.11_2.56,81 VINCENT COURT,81 VINCENT CT
209,1517_285.11_2.57,79 VINCENT COURT,79 VINCENT CT
210,1517_285.11_2.58,77 VINCENT COURT,77 VINCENT CT
211,1517_285.11_2.59,75 VINCENT COURT,75 VINCENT CT
212,1517_285.11_2.60,73 VINCENT COURT,73 VINCENT CT
213,1517_285.11_2.61,61 VINCENT COURT,61 VINCENT CT
214,1517_285.11_2.62,63 VINCENT COURT,63 VINCENT CT
215,1517_285.11_2.64,67 VINCENT COURT,67 VINCENT CT
216,1517_285.11_2.65,69 VINCENT COURT,69 VINCENT CT
217,1517_285.11_2.66,71 VINCENT COURT,71 VINCENT CT
218,1517_285.11_2.67,59 VINCENT COURT,59 VINCENT CT
219,1517_285.11_2.69,55 VINCENT COURT,55 VINCENT CT
220,1517_285.11_2.70,53 VINCENT COURT,53 VINCENT CT
221,1517_285.11_2.72,49 VINCENT COURT,49 VINCENT CT
222,1517_285.11_2.73,47 VINCENT COURT,47 VINCENT CT
223,1517_285.11_2.74,45 VINCENT COURT,45 VINCENT CT
224,1517_285.11_2.75,43 VINCENT COURT,43 VINCENT CT
225,1517_285.11_2.78,37 VINCENT COURT,37 VINCENT CT
226,1517_285.11_2.79,35 VINCENT COURT,35 VINCENT CT
227,1517_285.11_2.80,33 VINCENT COURT,33 VINCENT CT
228,1517_285.11_2.81,31 VINCENT COURT,31 VINCENT CT
229,1517_285.11_2.82,29 VINCENT COURT,29 VINCENT CT
230,1517_285.11_2.83,27 VINCENT COURT,27 VINCENT CT
231,1517_285.11_2.84,25 VINCENT COURT,25 VINCENT CT
232,1517_285.11_2.85,23 VINCENT COURT,23 VINCENT CT
233,1517_285.11_2.86,21 VINCENT COURT,21 VINCENT CT
234,1517_285.11_2.88,17 VINCENT COURT,17 VINCENT CT
235,1517_285.11_2.89,15 VINCENT COURT,15 VINCENT CT
236,1517_285.11_2.90,13 VINCENT COURT,13 VINCENT CT
237,1517_285.11_2.91,11 VINCENT COURT,11 VINCENT CT
238,1517_285.11_2.92,9 VINCENT COURT,9 VINCENT CT
239,1517_285.11_2.94,5 VINCENT COURT,5 VINCENT CT
240,1517_285.11_3,145 OAK LANE,145 OAK LN
241,1517_285.11_4,165 OAK LANE,165 OAK LN
242,1517_285.11_7.18,OFF RADIO ROAD,665 RADIO RD
243,1517_285.11_8.02,20 WINDSTAR DRIVE,20 WINDSTAR DR
244,1517_285.11_8.03,3 PIER POINT,3 PIER PT
245,1517_285.11_8.04,5 PIER POINT,5 PIER PT
246,1517_285.11_8.05,15 PIER POINT,15 PIER PT
247,1517_285.11_8.06,17 PIER POINT,8200 JONES BRANCH DR
248,1517_285.11_8.07,3 CORAL DRIVE,3 CORAL DR
249,1517_285.11_8.08,5 CORAL DRIVE,5 CORAL DR
250,1517_285.11_8.10,8 CORAL DRIVE,8 CORAL DR
251,1517_285.11_8.11,6 CORAL DRIVE,6 CORAL DR
252,1517_285.11_8.12,4 CORAL DRIVE,4 CORAL DR
253,1517_285.11_8.13,2 CORAL DRIVE,118 VILLAGE WAY
254,1517_285.11_8.15,27 PIER POINT,27 PIER PT
255,1517_285.11_8.16,29 PIER POINT,29 PIER PT
256,1517_285.11_8.17,30 PIER POINT,30 PIER PT
257,1517_285.11_8.18,28 PIER POINT,28 PIER POINT
258,1517_285.11_8.19,26 PIER POINT,26 PIER PT
259,1517_285.11_8.20,24 PIER POINT,24 PIER PT
260,1517_285.11_8.21,22 PIER POINT,22 PIER PT
261,1517_285.11_8.22,20 PIER POINT,20 PIER PT
262,1517_285.11_8.23,18 PIER POINT,18 PIER PT
263,1517_285.11_8.24,16 PIER POINT,22 LINKS LN
264,1517_285.11_8.25,6 PIER POINT,6 PIER PT
265,1517_285.11_8.26,4 PIER POINT,4 PIER PT
266,1517_285.11_8.27,14 WINDSTAR DRIVE,14 WINDSTAR DR
267,1517_285.11_9,420 RADIO ROAD,420 RADIO RD
268,1517_285.11_10.02,6 WINDSTAR DRIVE,6 WINDSTAR DR
269,1517_285.11_10.03,8 WINDSTAR DRIVE,8 WINDSTAR DR
270,1517_285.11_10.05,12 WINDSTAR DRIVE,12 WINDSTAR DR
271,1517_285.11_10.10,22 WINDSTAR DRIVE,22 WINDSTAR DR
272,1517_285.11_10.11,24 WINDSTAR DRIVE,24 WINDSTAR DR
273,1517_285.11_10.12,26 WINDSTAR DRIVE,26 WINDSTAR DR
274,1517_285.11_10.13,28 WINDSTAR DRIVE,28 WINDSTAR DR
275,1517_285.11_10.14,30 WINDSTAR DRIVE,30 WINDSTAR DR
276,1517_285.11_10.15,32 WINDSTAR DRIVE,32 WINDSTAR DR
277,1517_285.11_10.16,2 SWEETWATER DRIVE,PO BOX 1752
278,1517_285.11_10.17,4 SWEETWATER DRIVE,4 SWEETWATER DR
279,1517_285.11_10.18,6 SWEETWATER DRIVE,6 SWEETWATER LN
280,1517_285.11_10.19,8 SWEETWATER DRIVE,8 SWEETWATER DR
281,1517_285.11_10.20,10 SWEETWATER DRIVE,10 SWEETWATER DR
282,1517_285.11_10.21,12 SWEETWATER DRIVE,12 SWEETWATER DR
283,1517_285.11_10.22,14 SWEETWATER DRIVE,14 SWEETWATER DR
284,1517_285.11_10.23,16 SWEETWATER DRIVE,16 SWEETWATER DR
285,1517_285.11_10.24,18 SWEETWATER DRIVE,18 SWEETWATER DR
286,1517_285.11_10.25,20 SWEETWATER DRIVE,20 SWEETWATER DR
287,1517_285.11_10.26,22 SWEETWATER DRIVE,22 SWEETWATER DR
288,1517_285.11_10.27,24 SWEETWATER DRIVE,24 SWEETWATER DR
289,1517_285.11_10.28,26 SWEETWATER DRIVE,26 SWEETWATER DR
290,1517_285.11_15.01,OFF OAK LANE,183 OAK LN
291,1517_285.11_15.02,183 OAK LANE,183 OAK LN
292,1517_285.11_16,179 OAK LANE,179 OAK LN
293,1517_285.12_1,38 WINDSTAR DRIVE,38 WINDSTAR DR
294,1517_285.12_2,40 WINDSTAR DRIVE,40 WINDSTAR DR
295,1517_285.12_3,42 WINDSTAR DRIVE,42 WINDSTAR DR
296,1517_285.12_4,44 WINDSTAR DRIVE,44 WINDSTAR DR
297,1517_285.12_5,46 WINDSTAR DRIVE,46 WINDSTAR DR
298,1517_285.12_6,48 WINDSTAR DRIVE,48 WINDSTAR DR
299,1517_285.12_7,50 WINDSTAR DRIVE,50 WINDSTAR DR
300,1517_285.12_8,52 WINDSTAR DRIVE,52 WINDSTAR DR
301,1517_285.12_9,54 WINDSTAR DRIVE,54 WINDSTAR DR
302,1517_285.12_10,56 WINDSTAR DRIVE,56 WINDSTAR DR
303,1517_285.12_11,58 WINDSTAR DRIVE,58 WINDSTAR DR
304,1517_285.12_12,60 WINDSTAR DRIVE,60 WINDSTAR DR
305,1517_285.12_13,62 WINDSTAR DRIVE,62 WINDSTAR DR
306,1517_285.12_14,64 WINDSTAR DRIVE,64 WINDSTAR DR
307,1517_285.12_15,66 WINDSTAR DRIVE,66 WINDSTAR DR
308,1517_285.12_16,33 PELICAN LANE,33 PELICAN LN
309,1517_285.12_18,29 PELICAN LANE,29 PELICAN LN
310,1517_285.12_19,27 PELICAN LANE,27 PELICAN LN
311,1517_285.12_20,25 PELICAN LANE,25 PELICAN LN
312,1517_285.12_21,23 PELICAN LANE,23 PELICAN LN
313,1517_285.12_22,21 PELICAN LANE,21 PELICAN LN
314,1517_285.12_23,19 PELICAN LANE,19 PELICAN LN
315,1517_285.12_24,17 PELICAN LANE,17 PELICAN LN
316,1517_285.12_25,15 PELICAN LANE,15 PELICAN LN
317,1517_285.12_26,13 PELICAN LANE,13 PELICAN LN
318,1517_285.12_27,11 PELICAN LANE,11 PELICAN LN
319,1517_285.12_28,7 PELICAN LANE,7 PELICAN LN
320,1517_285.12_29,5 PELICAN LANE,5 PELICAN LN
321,1517_285.12_30,3 PELICAN LANE,3 PELICAN LN
322,1517_285.12_31,1 PELICAN LANE,1 PELICAN LN
323,1517_286_2,WEST OF CENTER STREET,1510 RTE 539
324,1517_286_4,363 CENTER STREET,363 CENTER ST
325,1517_286_4.01,367 CENTER STREET,367 CENTER ST
326,1517_286_5.01,383 CENTER STREET,383 CENTER ST
327,1517_286_5.03,379 CENTER STREET,15480 LAGUNA CANYON RD
328,1517_286_5.05,375 CENTER STREET,16 ROCKY RD
329,1517_287_1.01,OTIS BOG ROAD,41 BRIARWOOD DR
330,1517_287_1.02,5 DAFFODIL DRIVE,5 DAFFODIL DR
331,1517_287_1.03,7 DAFFODIL DRIVE,7 DAFFODIL DR
332,1517_287_1.04,9 DAFFODIL DRIVE,9 DAFFODIL DR
333,1517_287_1.05,11 DAFFODIL DRIVE,11 DAFFODIL DR
334,1517_287_1.07,15 DAFFODIL DRIVE,15 DAFFODIL DR
335,1517_287_1.08,17 DAFFODIL DRIVE,17 DAFFODIL DR
336,1517_287_1.09,19 DAFFODIL DRIVE,19 DAFFODIL DR
337,1517_287_1.10,21 DAFFODIL DRIVE,21 DAFFODIL DR
338,1517_287_1.11,23 DAFFODIL DRIVE,23 DAFFODIL DR
339,1517_287_1.12,25 DAFFODIL DRIVE,25 DAFFODIL DR
340,1517_287_1.13,27 DAFFODIL DRIVE,27 DAFFODIL DR
341,1517_287_1.14,29 DAFFODIL DRIVE,29 DAFFODIL DR
342,1517_287_1.15,31 DAFFODIL DRIVE,31 DAFFODIL DR
343,1517_287_1.16,33 DAFFODIL DRIVE,33 DAFFODIL DR
344,1517_287_1.17,35 DAFFODIL DRIVE,35 DAFFODIL DR
345,1517_287_1.18,37 DAFFODIL DRIVE,37 DAFFODIL DR
346,1517_287_1.19,39 DAFFODIL DRIVE,39 DAFFODIL DR
347,1517_287_1.20,41 DAFFODIL DRIVE,41 DAFFODIL DR
348,1517_287_1.21,43 DAFFODIL DRIVE,43 DAFFODIL DR
349,1517_287_1.23,47 DAFFODIL DRIVE,47 DAFFODIL DR
350,1517_287_1.24,49 DAFFODIL DRIVE,49 DAFFODIL DR
351,1517_287_1.25,51 DAFFODIL DRIVE,51 DAFFODIL DR
352,1517_287_1.26,50 DAFFODIL DRIVE,50 DAFFODIL DR
353,1517_287_1.27,46 DAFFODIL DRIVE,46 DAFFODIL DR
354,1517_287_1.28,44 DAFFODIL DRIVE,44 DAFFODIL DR
355,1517_287_1.29,42 DAFFODIL DRIVE,42 DAFFODIL DR
356,1517_287_1.30,40 DAFFODIL DRIVE,40 DAFFODIL DR
357,1517_287_1.31,36 DAFFODIL DRIVE,36 DAFFODIL DR
358,1517_287_1.32,34 DAFFODIL DRIVE,34 DAFFODIL DR
359,1517_287_1.33,32 DAFFODIL DRIVE,32 DAFFODIL DR
360,1517_287_1.35,26 DAFFODIL DRIVE,26 DAFFODIL DR
361,1517_287_1.36,18 DAFFODIL DRIVE,18 DAFFODIL DR
362,1517_287_1.37,14 DAFFODIL DRIVE,14 DAFFODIL DR
363,1517_287_1.38,4 DAFFODIL DRIVE,4 DAFFODIL DR
364,1517_287_1.39,2 DAFFODIL DRIVE,2 DAFFODIL DR
365,1517_287_4,660 ROUTE 9 SOUTH,665 RADIO RD
366,1517_287_6,612 ROUTE 9 SOUTH,22 S MIAMI DR
367,1517_287_8.01,359 CENTER STREET,359 CENTER ST
368,1517_287_12,OFF ROUTE 9 SOUTH,665 RADIO RD
369,1517_287.02_4,25 WISTERIA LANE,665 RADIO RD
370,1517_287.02_5,35 WISTERIA LANE,35 WISTERIA LN
371,1517_287.02_5.01,41 LEITZ BOULEVARD,41 LEITZ BLVD
372,1517_287.02_5.02,49 LEITZ BOULEVARD,49 LEITZ BLVD
373,1517_287.02_6,5 CLAY HOLE ROAD,12 WEST HUDSON DR
374,1517_287.02_7,9 CLAY HOLE ROAD,9 CLAY HOLE RD
375,1517_287.05_1,9 GROVE COURT,9 GROVE CT
376,1517_287.05_3,107 LEITZ BOULEVARD,107 LEITZ BLVD
377,1517_287.05_5,99 LEITZ BOULEVARD,99 LEITZ BLVD
378,1517_287.05_6,95 LEITZ BOULEVARD,95 LEITZ BLVD
379,1517_287.05_7,91 LEITZ BOULEVARD,91 LEITZ BLVD
380,1517_287.05_8,87 LEITZ BOULEVARD,87 LEITZ BLVD
381,1517_287.05_10,83 LEITZ BOULEVARD,83 LEITZ BLVD
382,1517_287.05_11,75 LEITZ BOULEVARD,75 LEITZ BLVD
383,1517_287.05_12,71 LEITZ BOULEVARD,71 LEITZ BLVD
384,1517_287.05_13,67 LEITZ BOULEVARD,67 LEITZ BLVD
385,1517_287.05_14,63 LEITZ BOULEVARD,63 LEITZ BLVD
386,1517_287.05_15,61 LEITZ BOULEVARD,61 LEITZ BLVD
387,1517_287.05_16,59 LEITZ BOULEVARD,59 LEITZ BLVD
388,1517_287.05_17,55 LEITZ BOULEVARD,55 LEITZ BLVD
389,1517_287.05_18,51 LEITZ BOULEVARD,51 LEITZ BLVD
390,1517_287.05_19,6 CLAY HOLE ROAD,6 CLAY HOLE RD
391,1517_287.05_20,10 CLAY HOLE ROAD,10 CLAY HOLE RD
392,1517_287.06_1,355 CENTER STREET,355 CENTER ST
393,1517_287.06_2,149 LEITZ BOULEVARD,149 LEITZ BLVD
394,1517_287.06_3,145 LEITZ BOULEVARD,145 LEITZ BLVD
